Waterbody,State,County,Site Number,Site ID,Site Description,Site Latitude,Site Longitude,HWM Label,HWM ID,HWM Location Description,HWM Type,HWM Quality,Height Above Ground (ft),HWM Latitude,HWM Longitude,Surveyed HWM Elevation (ft)
Black River (Town of Springfield),VT,Windsor County,VTWIN31122,31122,"Black River, upstream of Route 106 bridge, Weathersfield, VT",43.375571,-72.512861,VT-027-PE-440,45204,Wooden stake with flagging on washline in open field between brown and green houses. 20 ft from mostly dead xmas tree,Wash line,Fair: +/- 0.20 ft,0.2,43.37523692,-72.51337241,535.5
Black River (Town of Springfield),VT,Windsor County,VTWIN33567,33567,"Near rocks in the river off of Mill Road, Perkinsville VT",43.37260056,-72.51309967,VT-027-PE-442,45197,"White USGS HWM disc on mudline on flagged tree (10 inch diameter), 40 ft NW from birdhouse at edge of grass",Mud,Good: +/- 0.10 ft,3.2,43.37262078,-72.51311228,528.69
Black River (Town of Springfield),VT,Windsor County,VTWIN31163,31163,"Black River, downstream of VT-100 B110 bridge, Plymouth, VT",43.53486,-72.74252,VT-027-PM-132,45425,White HWM disc 54 ft DS on RB facing landward side of tree. Irene HWM above on same tree,Seed line,Good: +/- 0.10 ft,4.25,43.53485133,-72.74257932,1234.63
Black River (Town of Springfield),VT,Windsor County,VTWIN31162,31162,"Black River, downstream of VT-100 B110 bridge, Plymouth, VT",43.53471,-72.74265,VT-027-PM-133,45471,White HWM disc on tree (12 inch)facing landward. 87 ft DS on LB rivers edge,Seed line,Good: +/- 0.10 ft,1.3,43.5345911,-72.74229982,1232.91
Black River (Town of Springfield),VT,Windsor County,VTWIN31164,31164,"Black River, downstream of VT-100 B110 bridge, Plymouth, VT",43.53525,-72.7422,VT-027-PM-134,45812,"White HWM disc on chicken coop structure facing upstream. 225 ft US on RB, 30 ft from rivers edge",Debris,Good: +/- 0.10 ft,2.2,43.53565626,-72.74209344,1238.23
Black River (Town of Springfield),VT,Windsor County,VTWIN31164,31164,"Black River, downstream of VT-100 B110 bridge, Plymouth, VT",43.53525,-72.7422,VT-027-PM-135,45813,Black sharpie mark located on SW corner of house underneath the electric meter. 90 ft US of bridge,Mud,Excellent: +/- 0.05 ft,1.8,43.53503086,-72.74203999,1236.54
Black River (Town of Springfield),VT,Windsor County,VTWIN31128,31128,"Black River, downstream from VT-100 bridge, Plymouth, VT",43.50056,-72.71829,VT-027-PM-136,45427,"White HWM disc in 24 inch tree facing rivers edge. 159 ft DS on LB, 15 ft from rivers edge",Seed line,Poor: +/- 0.40 ft,0.5,43.5008282,-72.71800828,1098.49
Black River (Town of Springfield),VT,Windsor County,VTWIN31128,31128,"Black River, downstream from VT-100 bridge, Plymouth, VT",43.50056,-72.71829,VT-027-PM-137,45434,White HWM disc in 16 inch pine tree 216 ft DS on RB. 33 ft from waters edge facing streamward,Seed line,Poor: +/- 0.40 ft,3,43.50091533,-72.71764726,1098.68
Black River (Town of Springfield),VT,Windsor County,VTWIN31130,31130,"Black River, upstream of VT-100 bridge, Plymouth, VT",43.5003,-72.71842,VT-027-PM-138,45428,White HWM disc in tree on rivers edge facing landward. 75 ft US from bridge on LB 5 ft from waters edge,Mud,Good: +/- 0.10 ft,1.88,43.50026174,-72.71838206,1105.14
Black River (Town of Springfield),VT,Windsor County,VTWIN31130,31130,"Black River, upstream of VT-100 bridge, Plymouth, VT",43.5003,-72.71842,VT-027-PM-139,45432,White HWM disc in small tree 22 ft from edge of Rt 100 and 32 ft from waters edge,Debris,Good: +/- 0.10 ft,1.75,43.50024954,-72.7179929,1105.6
Black River (Town of Springfield),VT,Windsor County,VTWIN33569,33569,"Downstream of the bridge on Depot Street, Cavendish VT",43.38040161,-72.63639832,VT-027-PR-427,45198,"8 inch nail with flagging on debris line, 8 ft from TOBR, 5 ft from 2 18 inch trees.",Debris,Poor: +/- 0.40 ft,0,43.38031481,-72.63638081,929.95
Black River (Town of Springfield),VT,Windsor County,VTWIN31102,31102,"Black River, downstream of railroad bridge near intersection with Depot Street and Mountain View Avenue, Cavendish, VT",43.382246,-72.635455,VT-027-PR-428,45208,Sharpie line on inside shed studs right of red door,Seed line,Excellent: +/- 0.05 ft,2.25,43.38244651,-72.63506013,925.28
